primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
One Outs,2008,2009,"Animation,Drama,Sport",8.3,1832,3c278532-9d7e-4c72-9cd7-dd151f1f3281,oneouts
Flash Forward,1995,1997,"Comedy,Family",7.9,1832,eae82f6f-161e-4e60-8cbc-48f7ad83daa4,flashforward
Ad Vitam,2018,2018,"Crime,Drama,Mystery",6.4,1831,ff1b5ece-0519-488c-a35e-0b889da283b9,advitam
Strange Empire,2014,2015,"Drama,Western",6.3,1830,42fe92e5-3a1c-4939-a5f8-68ea60f29070,strangeempire
Hotel,1983,1988,"Drama,Romance",6.4,1829,17abf4fc-584a-47cc-922c-ba839ce8e49c,hotel
Young Dracula,2006,2014,"Comedy,Family,Fantasy",7.5,1829,7fa4cecc-fb21-4c8c-9f22-a1a89abcbd13,youngdracula
Footballers' Wives,2002,2006,"Drama,Sport",6.5,1829,ca83ffc9-6db8-41d4-9027-5446e2f53b76,footballerswives
Roc,1991,1994,"Comedy,Drama",7.4,1828,9049755f-d7e8-49f7-9885-be1b12e782f7,roc
Elena of Avalor,2016,2020,"Action,Adventure,Animation",6.5,1828,10834f9e-a7b2-4389-a424-5ac6e7546444,elenaofavalor
Fraggle Rock,1987,1988,"Adventure,Animation,Comedy",7.2,1828,ea06fa1a-71e5-446d-805d-06f256c45326,fragglerock
The Storyteller: Greek Myths,1991,1991,"Adventure,Drama,Family",8.1,1827,30f4df68-8bd5-45ca-8ec8-b88924c2e8eb,thestorytellergreekmyths
Trigger Happy TV,2000,2003,Comedy,7.9,1827,b9bd3f17-397d-46af-829f-d480390cc4bc,triggerhappytv
The Repair Shop,2017,\N,"Documentary,Reality-TV",8.7,1826,6af75e13-8525-4765-a409-66d9f8a1272a,therepairshop
How to Be a Gentleman,2011,2012,Comedy,4.7,1826,4f8d948a-c095-455b-8e61-1ddb269fd9b9,howtobeagentleman
Otvorena vrata 2,2013,\N,Comedy,5.9,1824,79fbd824-f04a-43e8-b3dc-97e33c206b4b,otvorenavrata2
Paranormal Lockdown,2016,\N,Reality-TV,7.1,1824,9cccfaa6-5364-4e60-9dfc-9730d5437663,paranormallockdown
Alpha Bravo Charlie,1998,1998,Action,9.5,1824,a847d128-e765-4203-b777-b0536611d227,alphabravocharlie
Defendant,2017,2017,"Crime,Drama,Mystery",8.1,1824,071fee68-e07e-4592-bf3a-4546b740c48a,defendant
HouseBroken,2021,\N,"Animation,Comedy",6.4,1823,dbf4d1a0-12fd-4ed0-baf8-e89d4d687f5d,housebroken
Mandy,2019,\N,Comedy,7.2,1823,0bfa5e10-e9d1-4ccf-815c-5fd1842b0607,mandy
"So I'm a Spider, So What?",2021,\N,"Adventure,Animation,Comedy",7.2,1823,a655a69c-1eed-41e7-aced-437668b42129,soimaspidersowhat
The Cleaner,2008,2009,Drama,7.1,1822,03b184e3-beea-4794-b3a7-061b28bdd059,thecleaner
Top Secret UFO Projects: Declassified,2021,\N,Documentary,5.6,1822,8214d9b6-8606-49bc-a45d-c18b34131de0,topsecretufoprojectsdeclassified
The Donna Reed Show,1958,1966,"Comedy,Family",7.4,1821,9522eba6-95de-48aa-b511-0d21eafdc547,thedonnareedshow
Tales of the Gold Monkey,1982,1983,"Adventure,Comedy,Drama",8.0,1820,d11cc65c-06e1-46e8-897f-7258693bfbf2,talesofthegoldmonkey
Emergency Couple,2014,2014,"Comedy,Drama,Romance",7.4,1820,360c8a97-ef72-44d5-9c4e-42536ec3e4c4,emergencycouple
Mehmetçik Kut'ül Amare,2018,2019,"Action,Adventure,Drama",6.7,1820,34072b4c-1d59-4424-ad11-4c70732329ff,mehmetikkutlamare
