primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
Witch's Court,2017,2017,"Crime,Drama,Mystery",7.4,547,c740a4b1-8a1e-4081-b6ab-3d01dcb45170,witchscourt
Secret History of Comics,2017,2017,"Documentary,History",8.0,547,a207cc25-2737-47ed-8bc7-3b61331b8f74,secrethistoryofcomics
AP Dhillon: First of a Kind,2023,\N,Documentary,6.5,547,00328c03-020e-4bea-96f0-144553522903,apdhillonfirstofakind
Nerdrotic,2016,\N,"Comedy,Talk-Show",6.1,546,d3d74fea-3bf2-400b-9f23-8e84010ebd70,nerdrotic
Kafas,2023,\N,Drama,6.7,546,dbbd4788-e1ac-49a3-af55-0c6d8ce51ecc,kafas
Tiger Mask,1969,1971,"Action,Animation,Sport",7.3,546,07ea5a39-c47d-4915-8806-605b928e3816,tigermask
The Late Show,1992,1993,Comedy,8.9,546,27910960-89c2-4cd9-8964-c8f1285c1cb2,thelateshow
Cutting It,2002,2005,"Drama,Romance",7.3,546,7485a3f1-06f3-431a-8e69-776daa2db930,cuttingit
Tozluyaka,2022,2022,Drama,5.8,546,b5e2b1f8-c129-47ed-b4ec-6b2979bd7557,tozluyaka
Skunk Fu!,2007,2023,"Action,Animation,Comedy",5.2,546,4c80cc8e-4156-483f-9c60-d9007eb3370b,skunkfu
Working,1997,1999,Comedy,7.5,546,9b29c316-3f88-4966-b6b5-f80374eecd68,working
MasterChef Canada,2014,\N,Reality-TV,6.7,546,2e56876d-e073-4d65-a2c3-bc5f71865f7a,masterchefcanada
Eastern Championship Wrestling,1993,2000,"Action,Sport",8.4,546,0bdf55c2-c366-4d3d-a9f1-1fb327d2a7bc,easternchampionshipwrestling
Deadpool,2013,2013,"Action,Comedy,Fantasy",5.3,546,f693e44a-b35e-4bd1-b700-79f80256240b,deadpool
Kamen Rider: Dragon Knight,2008,2009,Action,6.4,545,e9a32e15-3d9f-490a-97a4-a5ea695f07dc,kamenriderdragonknight
The Netflix Afterparty,2020,2021,Talk-Show,3.8,545,13c00502-7b70-4b79-8764-72bccea24417,thenetflixafterparty
Alan Bennett's Talking Heads,2020,2020,"Comedy,Drama",7.9,545,86d8414e-3c77-43d9-a6d0-df04a1a661a7,alanbennettstalkingheads
Sally Hemings: An American Scandal,2000,\N,"Biography,Drama,History",7.0,545,4b1e2f8a-1690-40d3-8d4f-7e13b482d4fe,sallyhemingsanamericanscandal
Sigurd fåkke pult,2020,2022,"Comedy,Drama",7.4,544,412ef959-725b-46aa-87a2-2b3afbe0a933,sigurdfkkepult
Hjälp!,2007,2009,Comedy,6.2,544,d4f1c171-9d34-404c-a177-17d1864e7fcd,hjlp
Ryan's Hope,1975,1989,"Drama,Romance",7.2,544,c9780baa-6e37-4e03-9009-19a532398d31,ryanshope
Kitani Mohabbat Hai,2009,2011,Drama,7.5,544,3f711093-9e59-4386-9e91-e856b3e58f6e,kitanimohabbathai
The Lost Prestige,2023,\N,"Crime,Drama,Thriller",5.2,544,79575136-27de-4d58-af9a-89919fb76435,thelostprestige
Party Animals,2007,2007,Drama,7.6,544,acaa082f-864e-4c23-9238-68ee0c08d630,partyanimals
KamiKatsu: Working for God in a Godless World,2023,2023,"Animation,Fantasy",6.2,544,ccf9b522-b77f-45f6-ae31-113346a2e684,kamikatsuworkingforgodinagodlessworld
1st & Ten,1984,1991,"Comedy,Sport",6.5,544,d9882939-562e-4955-92d0-72b18ae58306,1stten
Eternal Law,2012,2012,"Drama,Fantasy",6.4,544,e9c7006e-a35e-44ae-ab65-6c12ad6ca296,eternallaw
Dil Se Dil Tak,2017,2018,Drama,8.5,544,5dbaabca-2a7e-4ee1-bcef-5ec9b9146280,dilsediltak
The Grace Helbig Show,2015,\N,"Comedy,Talk-Show",7.3,544,9986e373-672c-4f17-b487-b65477ed31ca,thegracehelbigshow
Not Necessarily the News,1982,1990,Comedy,7.5,543,04394187-cdd9-40ed-a4ef-f7ba0f6064d5,notnecessarilythenews
The Selection: Special Operations Experiment,2016,\N,Reality-TV,8.7,543,b83c21fa-28ed-4279-be56-0c086ebf75db,theselectionspecialoperationsexperiment
Surviving Suburbia,2009,2009,Comedy,5.6,543,b13eee0c-c034-49db-897d-4ec4557b4519,survivingsuburbia
MasterChef: The Professionals,2008,\N,Reality-TV,7.7,543,8a62fa4e-c3ff-4735-97b7-8dbb2f5aa0aa,mastercheftheprofessionals
Worst-Case Scenario,2010,2010,"Adventure,Reality-TV",6.9,543,73dfabda-11ae-4863-9681-e5fbd06aecaa,worstcasescenario
Posh Nosh,2003,\N,Comedy,8.9,543,c50f5d08-0127-40d3-a25e-ca1ab5e5d6fc,poshnosh
Sara,2005,\N,"Comedy,Drama",6.5,543,6ed8b764-540c-4503-8474-468bc262a8fc,sara
Blanca,2021,\N,"Crime,Drama",7.3,543,b792ca93-4773-40f5-92ce-bbf9b1cc2f61,blanca
Bolice,2015,2017,"Action,Comedy,Crime",8.5,543,a5382e3f-3888-48be-b40f-3cb08a267e8c,bolice
Alan Davies: As Yet Untitled,2014,\N,"Comedy,Game-Show",7.5,542,a28705ad-7fef-48e1-9130-74b9fbe1f556,alandaviesasyetuntitled
Daniel Spellbound,2022,\N,"Action,Adventure,Animation",6.9,542,90fbbc93-3ee6-4fa9-803a-d45e70cbb153,danielspellbound
