primary_title,start_year,end_year,genres,average_rating,num_votes,show_id
Scooby-Doo and Scrappy-Doo,1979,1983,"Adventure,Animation,Comedy",6.3,4377,0083475
Pippi Longstocking,1969,1969,"Adventure,Comedy,Drama",7.4,4377,0062598
Same Thing,2019,2021,"Comedy,Short",7.5,4376,10841904
Little Bear,1995,2003,"Adventure,Animation,Comedy",7.3,4375,0245637
Profiler,1996,2000,"Crime,Drama,Mystery",7.2,4374,0115322
Turkish for Beginners,2006,2008,Comedy,7.5,4372,0469009
Karenjit Kaur - The Untold Story of Sunny Leone,2018,\N,"Biography,Drama",7.1,4369,6009150
Man on Pause,2022,\N,"Comedy,Drama",6.7,4369,14486722
Bidurbhai,2021,\N,Comedy,8.1,4368,16266226
Vice,2013,2021,"Documentary,News",8.8,4365,2782710
One Mississippi,2015,2017,"Comedy,Drama",7.6,4364,4947608
Samurai 7,2004,2004,"Action,Adventure,Animation",7.6,4362,0482424
TONIKAWA: Over the Moon for You,2020,2023,"Animation,Comedy,Romance",7.7,4361,12311976
Blake's 7,1978,1981,"Adventure,Drama,Sci-Fi",8.0,4356,0076987
The Name of the Rose,2019,2019,"Drama,History,Mystery",6.9,4355,7572868
Hotel Beau Séjour,2016,\N,"Crime,Drama,Mystery",7.7,4352,3543082
My Secret Romance,2017,2017,"Comedy,Romance",7.1,4349,6300100
Quack Pack,1996,1997,"Adventure,Animation,Comedy",6.7,4349,0136658
Two Weeks to Live,2020,2020,"Adventure,Comedy,Crime",6.7,4346,6075088
Waiting for the Sun,2013,2014,Drama,6.9,4345,3052000
Honeymoon,2022,\N,"Comedy,Drama,Romance",7.8,4345,13503770
Killing It,2022,\N,Comedy,7.3,4345,14129378
Mad Love,2011,2011,"Comedy,Romance",6.5,4344,1684910
Britain's Got Talent,2007,\N,"Music,Reality-TV",5.8,4344,1034201
Indian Matchmaking,2020,\N,"Documentary,Family,News",6.3,4342,12580168
Rafuchakkar,2023,\N,"Action,Drama,Thriller",6.5,4334,27862209
Mr. Wrong,2020,2020,"Comedy,Romance",6.5,4333,12453442
Blood & Oil,2015,2015,"Crime,Drama,Romance",6.6,4332,4428022
SK8 the Infinity,2021,2021,"Adventure,Animation,Comedy",8.0,4332,13129190
Adventures of Superman,1952,1958,"Action,Adventure,Crime",7.7,4329,0044231
Back at the Barnyard,2007,2011,"Adventure,Animation,Comedy",5.7,4328,0857277
Boris,2007,2022,Comedy,8.6,4324,1020116
How NOT to Summon a Demon Lord,2018,2021,"Adventure,Animation,Comedy",7.0,4317,8438524
Rob & Big,2006,2008,"Comedy,Reality-TV,Sport",7.5,4315,0791283
Never Kiss Your Best Friend,2020,\N,Romance,7.7,4312,11640208
Nathan Barley,2005,2005,Comedy,8.0,4311,0426654
K-On!,2009,2010,"Animation,Comedy,Drama",7.8,4307,1410218
Melrose Place,2009,2010,"Drama,Romance",6.0,4303,1388782
Detroiters,2017,2018,Comedy,8.1,4298,4779762
Detective Montalbano,1999,2021,"Crime,Drama,Mystery",8.4,4292,0920489
Once Upon a Time... Man,1978,1981,"Adventure,Animation,Drama",8.0,4290,0264244
Uncle,2012,2017,Comedy,7.8,4290,2546866
Fame,1982,1987,"Drama,Music,Musical",7.0,4285,0083412
Allegiance,2015,2015,"Drama,Thriller",7.1,4285,3581654
The Oath,2017,2019,"Action,Drama,Romance",6.8,4284,6942048
Cleopatra,1999,1999,"Biography,Drama,History",6.4,4283,0178130
Ganglands,2021,\N,"Action,Crime,Drama",7.2,4280,13278100
Cobra,2020,2023,"Drama,Thriller",6.5,4277,10062652
Wrong Side of the Tracks,2021,\N,Drama,6.9,4276,13980362
Bloodride,2020,2020,"Drama,Horror,Mystery",6.4,4270,9815502
Dr. Ken,2015,2017,Comedy,5.7,4269,3216608
Shaurya Aur Anokhi Ki Kahaani,2020,2021,Drama,7.4,4266,13562400
My Three Sons,1960,1972,"Comedy,Family",7.1,4264,0053525
Burning Love,2012,2013,"Comedy,Romance",8.0,4260,2292621
Caroline in the City,1995,1999,"Comedy,Romance",6.2,4260,0111910
The InBetween,2019,2019,"Crime,Drama,Fantasy",7.0,4259,7861612
Champions,2018,2018,Comedy,6.1,4259,6470396
Wishbone,1995,1998,"Adventure,Comedy,Family",8.2,4258,0112225
Chopped,2007,\N,"Game-Show,Reality-TV",7.4,4257,1353281
The Factor,1996,2017,"News,Talk-Show",3.3,4257,0284767
Home Fires,2015,2016,"Drama,War",8.2,4250,4015216
Erased,2017,2017,"Drama,Fantasy,Mystery",7.8,4249,7573686
La que se avecina,2007,\N,Comedy,7.5,4245,0922037
Ayak Isleri,2021,2023,"Action,Comedy",8.4,4244,14344266
Schoolhouse Rock!,1973,2009,"Animation,Family,Musical",8.2,4243,0069627
Zach Stone Is Gonna Be Famous,2013,2013,Comedy,8.3,4243,1748277
Cartel,2021,2021,"Action,Drama",8.0,4242,15134202
Bhabi Ji Ghar Par Hai,2015,2024,Comedy,8.7,4238,5154982
Basilisk: The Kouga Ninja Scrolls,2005,2005,"Action,Adventure,Animation",7.8,4236,0856348
60 Minutes,1968,\N,"Documentary,News",7.5,4231,0123338
Kaun Banega Crorepati?,2000,\N,Game-Show,8.2,4228,0250875
Tucker Carlson Tonight,2016,2023,"News,Talk-Show",4.6,4227,6238614
Sugar Rush,2005,2006,"Drama,Romance",7.7,4226,0452568
1000 Ways to Die,2008,2012,"Comedy,Documentary,Horror",6.8,4222,1105711
On the Side Lines,2015,\N,Comedy,5.9,4221,5477572
Deal or No Deal,2005,2019,"Family,Game-Show",5.0,4216,0493378
Brainiac: Science Abuse,2003,2008,"Comedy,Documentary",6.9,4215,0442633
Privileged,2008,2009,Comedy,6.8,4210,1197567
Eleventh Hour,2008,2009,"Crime,Drama,Mystery",7.2,4209,1118697
Typewriter,2019,2019,"Horror,Mystery,Thriller",6.5,4207,9310372
The Real World,1992,\N,"Drama,Reality-TV",5.2,4206,0103520
Servant of the People,2015,2019,Comedy,7.4,4206,6235122
Your Movie Sucks,2010,\N,"Comedy,Talk-Show",8.7,4205,5897920
Being Mary Jane,2013,2019,"Drama,Romance,Thriller",7.6,4205,2345481
Mission: Impossible,1988,1990,"Action,Adventure,Crime",7.5,4204,0094511
De Dag,2018,2018,"Action,Crime,Drama",8.3,4200,6144672
Dark Blue,2009,2010,"Action,Crime,Drama",7.4,4200,1319636
Forged in Fire,2015,\N,"Game-Show,Reality-TV",8.3,4198,4680444
Partners,2012,2013,"Comedy,Romance",6.3,4196,2248977
American Ninja Warrior,2009,\N,"Action,Reality-TV,Sport",6.8,4195,1587934
Animals.,2016,2018,"Animation,Comedy",7.3,4192,4953128
The Mysterious Cities of Gold,1982,1983,"Adventure,Animation,Comedy",8.7,4189,0122356
